yaml_file,model_name,scale,task,nc,layers,parameters,gradients,gflops,error
v11/Detect/yolov11-GLNet.yaml,yolov11-GLNet-n,n,detect,80,529,28406529,28406513,54.2,
v11/Detect/yolov11-QARepVGG.yaml,yolov11-QARepVGG-m,m,detect,80,278,20428672,20428656,54.3,
v5/OBB/yolov5-ShuffleAttention-obb.yaml,yolov5-ShuffleAttention-obb-m,m,obb,80,219,25755571,25755555,54.3,
v5/Pose/yolov5-ShuffleAttention-pose.yaml,yolov5-ShuffleAttention-pose-m,m,pose,80,219,25807723,25807707,54.4,
v11/Detect/yolov11-RepVGG.yaml,yolov11-RepVGG-m,m,detect,80,299,20443328,20443312,54.5,
v12/Segment/yolov12-EfficientViT_MIT-CCFM-seg.yaml,yolov12-EfficientViT_MIT-CCFM-seg-n,n,segment,80,320,5306103,5306087,54.5,
yolact/Segment/yolact-cspdarknet53.yaml,yolact-cspdarknet53-s,s,segment,1000,174,14852568,14852552,54.6,
v5/Segment/yolov5-Lite-e-seg.yaml,yolov5-Lite-e-seg-l,l,segment,80,219,2721552,2721536,54.7,
Other/ParCNetv2/v8/Detect/yolov8-ParCNetv2-B.yaml,yolov8-ParCNetv2-B-s,s,detect,80,148,11522528,11522512,54.8,
PicoDet/Detect/PicoDet-m.yaml,PicoDet-m,-,detect,80,506,4346008,4345992,54.8,
v12/Pose/yolov12-TransXNet-CCFM-pose.yaml,yolov12-TransXNet-CCFM-pose-m,m,pose,80,879,17239899,17239883,54.8,
v5/Detect/yolov5-MobileOne.yaml,yolov5-MobileOne-m,m,detect,80,234,21402784,21402768,54.9,
Other/StripNet/v8/Detect/yolov8-StripNet-S.yaml,yolov8-StripNet-S-m,m,detect,80,194,19143952,19143936,55,
v9/Segment/gelan-t-seg.yaml,gelan-t-seg,-,segment,80,566,3251824,3251808,55,
v6/Segment/yolov6-3.0-seg-p34.yaml,yolov6-3.0-seg-p34-s,s,segment,80,118,13873296,13873280,55.1,
v8/Detect/yolov8-ODConvNext.yaml,yolov8-ODConvNext-x,x,detect,1,165,23276214,23276198,55.1,
v5/OBB/yolov5-CCFM-obb.yaml,yolov5-CCFM-obb-m,m,obb,80,234,17120755,17120739,55.2,
v8/yolov8-ghost-p6.yaml,yolov8-ghost-p6-l,l,detect,80,625,21227584,21227568,55.3,
v5/Pose/yolov5-CCFM-pose.yaml,yolov5-CCFM-pose-m,m,pose,80,234,17152171,17152155,55.4,
v4/Segment/yolov4-seg-p6.yaml,yolov4-seg-p6-s,s,segment,80,314,27212096,27212080,55.5,
v11/Detect/yolov11-C2PSA-SENetV2-LightHGNetV2-l-CCFM.yaml,yolov11-C2PSA-SENetV2-LightHGNetV2-l-CCFM-m,m,detect,80,260,22228568,22228552,55.9,
v11/Detect/yolov11-LSNet.yaml,yolov11-LSNet-l,l,detect,80,530,25639436,25639420,55.9,
v11/Detect/yolov11-SBCFormer.yaml,yolov11-SBCFormer-l,l,detect,80,431,19639313,19639297,55.9,
v5/Segment/yolov5-SKAttention-seg.yaml,yolov5-SKAttention-seg-s,s,segment,80,194,31917888,31917872,55.9,
v12/Segment/yolov12-UNetv2-ShuffleAttention-seg.yaml,yolov12-UNetv2-ShuffleAttention-seg-s,s,segment,80,285,17988336,17988320,56,
v12/Segment/yolov12-UNetv2-seg.yaml,yolov12-UNetv2-seg-s,s,segment,80,276,17988000,17987984,56,
v4/Segment/yolov4-seg-p7.yaml,yolov4-seg-p7-s,s,segment,80,380,38757744,38757728,56,
v8/Detect/yolov8-C2f-StarNet.yaml,yolov8-C2f-StarNet-m,m,detect,80,266,18999568,18999552,56.1,
v8/Segment/yolov8-seg-p2.yaml,yolov8-seg-p2-t,t,segment,80,188,6958248,6958232,56.5,
v11/Pose/yolov11-PartialNet-CCFM-pose.yaml,yolov11-PartialNet-CCFM-pose-s,s,pose,80,420,30368899,30368883,56.6,
12/yolo12-cls.yaml,yolo12-cls-l,l,classify,80,360,15460336,15460336,56.7,
v12/Classify/yolov12-cls.yaml,yolov12-cls-l,l,classify,80,360,15460336,15460336,56.7,
v11/Detect/yolov11-DiT-C3k2-WTConv-CCFM.yaml,yolov11-DiT-C3k2-WTConv-CCFM-m,m,detect,80,270,17635520,17596592,57.4,
v6/Detect/yolov6-3.0-p2.yaml,yolov6-3.0-p2-s,s,detect,80,155,16818384,16818368,57.5,
v11/Detect/yolov11-MambaOut.yaml,yolov11-MambaOut-l,l,detect,80,345,21618072,21618056,57.6,
v6/Segment/yolov6-3.0-seg.yaml,yolov6-3.0-seg-s,s,segment,80,144,16903936,16903920,57.6,
X/Detect/yoloX-x-lite-c.yaml,yoloX-x-lite-c,-,detect,80,298,14758456,14758440,57.7,
v11/Detect/yolov11-FlashInternImage-CCFM.yaml,yolov11-FlashInternImage-CCFM-n,n,detect,80,400,22431384,22431368,57.7,
v11/Segment/yolov11-EfficientNetV2-seg.yaml,yolov11-EfficientNetV2-seg-n,n,segment,80,659,21772960,21772944,57.7,
v6/OBB/yolov6-3.0-obb-p2.yaml,yolov6-3.0-obb-p2-s,s,obb,80,175,16855412,16855396,57.8,
v8/Detect/yolov8-FasterNet.yaml,yolov8-FasterNet-m,m,detect,80,180,21160276,21160260,58,
v11/Detect/yolov11-UniNeXt-CCFM.yaml,yolov11-UniNeXt-CCFM-n,n,detect,80,509,24678744,24678728,58.1,
v11/Pose/yolov11-LWGANet-CCFM-pose.yaml,yolov11-LWGANet-CCFM-pose-l,l,pose,80,644,22584007,22583991,58.1,
v11/Detect/yolov11-IdentityFormer.yaml,yolov11-IdentityFormer-m,m,detect,80,332,23105472,23105456,58.3,
v11/Detect/yolov11-PoolFormer.yaml,yolov11-PoolFormer-m,m,detect,80,258,22616960,22616944,58.3,
v11/Detect/yolov11-PoolFormerv2.yaml,yolov11-PoolFormerv2-m,m,detect,80,332,23105472,23105456,58.3,
v11/Detect/yolov11-ResNet_MoE.yaml,yolov11-ResNet_MoE-m,m,detect,80,202,22870504,22870488,58.3,
v11/Pose/yolov11-C2PSA-DiT-C3k2-WTConv-CCFM-pose.yaml,yolov11-C2PSA-DiT-C3k2-WTConv-CCFM-pose-m,m,pose,80,295,15446425,15407497,58.4,
v11/Detect/yolov11-C3k2-UIB-CCFM.yaml,yolov11-C3k2-UIB-CCFM-m,m,detect,80,242,14681344,14681328,58.5,
v11/Detect/yolov11-CCFM.yaml,yolov11-CCFM-m,m,detect,80,242,14681344,14681328,58.5,
v5/Detect/yolov5-p34.yaml,yolov5-p34-m,m,detect,80,171,17489936,17489920,58.5,
v11/Detect/yolov11-CCFM-C2PSA-DAT.yaml,yolov11-CCFM-C2PSA-DAT-m,m,detect,80,244,14768128,14768112,58.6,
v11/Detect/yolov11-MultiOrderGatedAggregation-CCFM.yaml,yolov11-MultiOrderGatedAggregation-CCFM-m,m,detect,80,233,14772608,14772592,58.6,
v11/Pose/yolov11-FasterNet-CCFM.yaml,yolov11-FasterNet-CCFM-l,l,pose,80,335,20894681,20894665,58.6,
Other/FasterNet/v8/Detect/yolov8-FasterNet-T2.yaml,yolov8-FasterNet-T2-m,m,detect,80,186,21991444,21991428,58.7,
PicoDet/OBB/PicoDet-m-obb.yaml,PicoDet-m-obb,-,obb,80,526,4580012,4579996,58.8,
v11/Detect/yolov11-C2PSA_HV_LCA_DynamicTanh-CCFM.yaml,yolov11-C2PSA_HV_LCA_DynamicTanh-CCFM-m,m,detect,80,246,15296681,15296665,59,
v11/Detect/yolov11-PKINet.yaml,yolov11-PKINet-l,l,detect,80,2801,18135968,18135952,59,
v12/Pose/yolov12-TransXNet-CCFM-pose.yaml,yolov12-TransXNet-CCFM-pose-l,l,pose,80,935,18095963,18095947,59.1,
v11/Detect/yolov11-C2PSA-DiT-CCFM.yaml,yolov11-C2PSA-DiT-CCFM-m,m,detect,80,247,15663872,15663856,59.3,
fbrt-yolo/Detect/FBRT-yolo-m.yaml,FBRT-yolo-m-m,m,detect,80,171,7399340,7399324,59.4,
v7/Segment/yolov7-C3C2-ResNet-seg.yaml,yolov7-C3C2-ResNet-seg,-,segment,80,260,42035504,42035488,59.5,
v11/Detect/yolov11-C2PSA-SENetV2-LightHGNetV2-l.yaml,yolov11-C2PSA-SENetV2-LightHGNetV2-l-m,m,detect,80,250,23391832,23391816,59.6,
v11/Detect/yolov11-LAE.yaml,yolov11-LAE-m,m,detect,80,257,13930112,13930096,59.7,
v11/OBB/yolov11-DecoupleNet-obb.yaml,yolov11-DecoupleNet-obb-l,l,obb,80,552,23428051,23428035,59.7,
v8/Detect/yolov8-MobileOne.yaml,yolov8-MobileOne-m,m,detect,80,222,20409520,20409504,59.7,
v11/Detect/yolov11-LSKNet.yaml,yolov11-LSKNet-m,m,detect,80,298,21348848,21348832,59.8,
v11/Detect/yolov11-LightHGNetV2-l.yaml,yolov11-LightHGNetV2-l-m,m,detect,80,247,23560024,23560008,59.8,
v11/Detect/yolov11-MobileOne.yaml,yolov11-MobileOne-m,m,detect,80,276,18959872,18959856,59.9,
v8/Detect/yolov8-C2f-UniRepLKNetBlock.yaml,yolov8-C2f-UniRepLKNetBlock-m,m,detect,80,406,19936312,19936296,60,
X/OBB/yoloX-x-lite-c-obb.yaml,yoloX-x-lite-c-obb,-,obb,80,328,15191662,15191646,60.1,
v11/Detect/yolov11-EfficientNetV2.yaml,yolov11-EfficientNetV2-s,s,detect,80,637,25102032,25102016,60.2,
v11/Pose/yolov11-GSConv-BiFPN-pose.yaml,yolov11-GSConv-BiFPN-pose-m,m,pose,80,275,16834786,16834770,60.2,
v6/Segment/yolov6-3.0-seg-p6.yaml,yolov6-3.0-seg-p6-s,s,segment,80,200,27306160,27306144,60.2,
v11/Detect/yolov11-OverLoCK.yaml,yolov11-OverLoCK-l,l,detect,80,902,29675048,29675032,60.3,
